employee_id,first_name,last_name,email,hire_date,job_title,department_id,manager_id,status,created_at,updated_at
1,Danielle,Johnson,danielle.johnson@hrcompany.com,2019-09-05,Sales Development Rep,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
2,John,Taylor,john.taylor@hrcompany.com,2016-09-28,Accountant,4,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
3,Erica,Mcclain,erica.mcclain@hrcompany.com,2016-06-24,Engineering Manager,1,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
4,Brittany,Johnson,brittany.johnson@hrcompany.com,2016-08-05,Senior Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
5,Jeffery,Wagner,jeffery.wagner@hrcompany.com,2015-06-14,Operations Manager,10,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
7,Jeffrey,Lawrence,jeffrey.lawrence@hrcompany.com,2015-02-10,Growth Marketer,6,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
9,Matthew,Moore,matthew.moore@hrcompany.com,2020-09-22,Senior Data Engineer,2,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
11,Melanie,Munoz,melanie.munoz@hrcompany.com,2015-09-27,CS Specialist,8,,terminated,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
15,Donna,Mejia,donna.mejia@hrcompany.com,2016-05-10,Associate PM,5,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
28,Michael,Osborn,michael.osborn@hrcompany.com,2017-05-09,HR Specialist,3,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
132,Justin,Jordan,justin.jordan@hrcompany.com,2020-06-25,Senior Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
137,Emily,Walker,emily.walker@hrcompany.com,2018-05-22,Legal Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
140,Robert,Soto,robert.soto@hrcompany.com,2018-04-23,Legal Director,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
156,Mark,Owens,mark.owens@hrcompany.com,2016-01-22,Finance Manager,4,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
162,Tracy,Nelson,tracy.nelson@hrcompany.com,2023-04-06,Senior Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
163,Anthony,Rogers,anthony.rogers@hrcompany.com,2021-11-17,Financial Analyst,4,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
166,Brittany,Alvarado,brittany.alvarado@hrcompany.com,2016-06-05,Senior Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
168,Hunter,Green,hunter.green@hrcompany.com,2020-07-27,Senior Analyst,4,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
169,Jason,Murphy,jason.murphy@hrcompany.com,2021-06-13,Senior Counsel,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
177,Steven,Scott,steven.scott@hrcompany.com,2021-04-11,Sales Manager,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
181,Barbara,Odonnell,barbara.odonnell@hrcompany.com,2021-05-21,VP of Sales,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
182,Randy,Espinoza,randy.espinoza@hrcompany.com,2016-04-17,Legal Director,9,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
185,Laura,Knight,laura.knight@hrcompany.com,2015-09-13,Account Executive,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
187,Casey,Holland,casey.holland@hrcompany.com,2015-03-20,VP of Sales,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
192,Steven,Petersen,steven.petersen@hrcompany.com,2019-07-26,Senior AE,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
193,Marcus,Sanchez,marcus.sanchez@hrcompany.com,2016-06-22,Senior AE,7,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
197,Tony,Kelly,tony.kelly@hrcompany.com,2019-05-25,Accountant,4,,active,2026-04-05 21:50:04.469873,2026-04-05 21:50:04.469873
