employee_id,full_name,job_title,avg_rating,avg_improvement,total_reviews
407,William Wilson,Operations Manager,5.0,,1
12,Jessica Herrera,Sales Development Rep,5.0,0.0,3
121,Jessica Edwards,Accountant,5.0,,1
210,Jenny Bray,Senior AE,5.0,,1
191,Tammy Nelson,Senior CSM,5.0,0.0,2
251,Darrell Barton,Operations Manager,5.0,,1
47,Joseph Brennan,Senior Data Engineer,5.0,0.0,3
129,Angela Lee,Finance Manager,5.0,0.0,3
65,Lindsey Chase,COO,4.8,-0.33,4
454,Wesley Barnes,COO,4.8,0.0,4
158,Melissa Cannon,Operations Analyst,4.7,0.0,3
297,Jonathan Smith,Sales Development Rep,4.5,-1.0,2
403,Christopher Richard,Sales Manager,4.5,0.0,4
110,Kimberly Jenkins,Associate PM,4.5,0.0,4
9,Matthew Moore,Senior Data Engineer,4.5,-0.33,4
461,Christopher Lozano,Senior PM,4.5,1.0,2
62,John Lee,Senior Engineer,4.5,-1.0,2
250,Shawn Edwards,Software Engineer,4.5,0.67,4
20,Chelsea Jackson,Legal Director,4.5,-0.33,4
330,Darren Young,Senior Engineer,4.5,-0.67,4
420,Chase Lin,Senior AE,4.5,0.33,4
206,Michael Chavez,Financial Analyst,4.5,-0.67,4
299,Charles Landry,Talent Acquisition,4.3,-0.33,4
306,Renee Mcgee,Senior AE,4.3,-0.33,4
443,Chris Richard,COO,4.3,0.67,4
132,Justin Jordan,Senior Counsel,4.3,0.0,4
213,Alexis Ferguson,Marketing Manager,4.3,0.0,4
255,Kathleen Harris,Sales Manager,4.3,0.0,4
298,Rachel Byrd,Analytics Engineer,4.3,0.0,4
301,Stephen Turner,Sales Manager,4.3,0.5,3
349,Alfred Baker,Content Strategist,4.3,0.0,4
474,Daniel Stein,Legal Counsel,4.3,0.33,4
492,Jon Mullins,Marketing Coordinator,4.3,0.33,4
6,Anna Baldwin,Software Engineer,4.3,0.0,3
371,Miranda Griffith,Senior CSM,4.3,-0.33,4
188,Melissa Short,Junior Developer,4.3,0.33,4
104,Rachel Flynn,Data Engineer,4.3,0.33,4
118,Sheila Wilson,Accountant,4.3,0.33,4
183,Brittany Rivas,Customer Success Manager,4.3,0.33,4
45,Tiffany Patel,Legal Director,4.3,0.0,4
102,Amy Davenport,Legal Counsel,4.3,0.0,4
11,Melanie Munoz,CS Specialist,4.3,-0.33,4
207,John Martinez,Financial Analyst,4.3,0.33,4
214,Brandon Brown,Account Executive,4.3,0.33,4
236,Brian Sparks,Marketing Coordinator,4.3,-0.33,4
319,Donald Levy,CS Specialist,4.3,0.5,3
382,Christopher Moreno,CMO,4.3,0.0,3
409,Jessica Fuentes,COO,4.3,0.0,4
122,Darrell Lam,Talent Acquisition,4.3,0.33,4
178,Gary Lawson,Ops Coordinator,4.3,-0.33,4
140,Robert Soto,Legal Director,4.0,-0.67,4
229,Glenn Jones,Senior Data Engineer,4.0,-0.33,4
232,Jacqueline Gibson,Marketing Manager,4.0,0.0,4
233,Sandra French,Senior Counsel,4.0,0.0,4
257,David Dudley,VP of Product,4.0,0.33,4
265,Julie Taylor,CS Specialist,4.0,0.67,4
304,Andrew Greer,Legal Director,4.0,-0.5,3
321,Christopher Foster,Account Executive,4.0,-0.33,4
326,Rose Walker,Senior Analyst,4.0,-0.33,4
333,Diana Bass,HR Specialist,4.0,1.0,3
347,Donna Johnson,Engineering Manager,4.0,-0.33,4
378,Anthony Nelson,CS Team Lead,4.0,-0.67,4
384,Larry Nguyen,Financial Analyst,4.0,-0.33,4
395,David Patel,CFO,4.0,0.0,4
412,Gregory Mejia,Finance Manager,4.0,,1
416,Scott Harrison,CS Specialist,4.0,0.33,4
418,William Collins,Content Strategist,4.0,0.0,2
427,Benjamin Zimmerman,VP of Sales,4.0,0.0,2
